name,source,gender,wikidata,type
"3 Maja",wikidata,,Q1129096,way
"75 Pułku Piechoty",wikidata,,Q9135731,way
"Aleja Bojowników o Wolność i Demokrację",wikidata,,Q1126143,way
"Aleja Gwiazd",wikidata,,Q523,way
"Aleja Leśna",wikidata,,Q4421,way
"Aleja Żyrafy",wikidata,,Q56328943,way
"Armii Krajowej",wikidata,,Q152529,way
Astrów,wikidata,,Q517130,way
Bałtycka,wikidata,,Q545,way
Beskidzka,wikidata,,Q215573,way
Bożogrobców,wikidata,,Q836057,way
Brzozowa,wikidata,,Q25243,way
Cieszyńska,wikidata,,Q321197,way
Częstochowska,wikidata,,Q103217,way
Farna,wikidata,,Q11745856,way
Francuska,wikidata,,Q142,way
Gnieźnieńska,wikidata,,Q51432,way
Górnośląska,wikidata,,Q81011,way
Grabowa,wikidata,,Q158513,way
Graniczna,wikidata,,Q133346,way
Głogowska,wikidata,,Q66013,way
Hetmańska,wikidata,,Q625652,way
Jesionowa,wikidata,,Q128887,way
Jodłowa,wikidata,,Q25350,way
Karpacka,wikidata,,Q1288,way
Karwińska,wikidata,,Q191793,way
Kasztanowa,wikidata,,Q129324,way
Kaszubska,wikidata,,Q147239,way
Katowicka,wikidata,,Q588,way
Klonowa,wikidata,,Q42292,way
Kochłowicka,wikidata,,Q10951700,way
Kozielska,wikidata,,Q154661,way
Kędzierzyńska,wikidata,,Q605483,way
Leśna,wikidata,,Q4421,way
Lipowa,wikidata,,Q127849,way
Lwowska,wikidata,,Q36036,way
Maciejkowicka,wikidata,,Q11765768,way
Miechowicka,wikidata,,Q324927,way
Niedźwiedziniec,wikidata,,Q11791466,way
Odrodzenia,wikidata,,Q4692,way
Odrowążów,wikidata,,Q57780183,way
Odrzańska,wikidata,,Q552,way
Olchowa,wikidata,,Q25239,way
Olzy,wikidata,,Q1331973,way
Orląt,wikidata,,Q1777763,way
Oświęcimska,wikidata,,Q7342,way
Piekarska,wikidata,,Q160131,way
Powstańców,wikidata,,Q703893,way
Raciborska,wikidata,,Q25302,way
Racjonalizatorów,wikidata,,Q20034943,way
Różana,wikidata,,Q24947353,way
Rycerska,wikidata,,Q837268,way
Skrajna,wikidata,,Q133346,way
Sokoła,wikidata,,Q1703457,way
Stalowa,wikidata,,Q11427,way
Szczecińska,wikidata,,Q393,way
Słowiańska,wikidata,,Q40477,way
Trzyniecka,wikidata,,Q986102,way
Tyniecka,wikidata,,Q3487449,way
Tęczowa,wikidata,,Q1052,way
Wolności,wikidata,,Q2979,way
Wrocławska,wikidata,,Q1799,way
Zabrska,wikidata,,Q103892,way
Zwycięstwa,wikidata,,Q50000,way
Śląska,wikidata,,Q81720,way
Żelazna,wikidata,,Q677,way
"11 Listopada",,,,way
"16 Lipca",,,,way
"17 Sierpnia",,,,way
"23 Czerwca",,,,way
Akacjowa,,,,way
"Aleja Fali",,,,way
"Aleja Harcerska",,,,way
"Aleja Klonowa",,,,way
"Aleja Muzyków",,,,way
"Aleja Parkowa",,,,way
"Aleja Planetarium",,,,way
"Aleja Różana",,,,way
"Aleja Spacerowa",,,,way
"Aleja Sportowa",,,,way
"Aleja Targowa",,,,way
"Aleja Widokowa",,,,way
"Aleja Wojska Polskiego",,,,way
"Aleja Wycieczkowa",,,,way
"Aleja Łani",,,,way
"Antoniego Stabika",,,,way
Antoniów,,,,way
Antoniowska,,,,way
Azotowa,,,,way
Bankowa,,,,way
Barska,,,,way
Boczna,,,,way
Brzezińska,,,,way
Bukowa,,,,way
Bytkowska,,,,way
Cedrowa,,,,way
Chałupki,,,,way
Chocimska,,,,way
Chorzowska,,,,way
Chropaczowska,,,,way
Cicha,,,,way
Cisowa,,,,way
Cmentarna,,,,way
Cyprysowa,,,,way
Czereśniowa,,,,way
Czysta,,,,way
Dobrodzieńska,,,,way
Dojazdowa,,,,way
"Drogowa Trasa Średnicowa",,,,way
"Duży Krąg Taneczny",,,,relation
Dworcowa,,,,way
Dyrekcyjna,,,,way
Działkowa,,,,way
Dębowa,,,,way
Długa,,,,way
Filarowa,,,,way
"Franciszka Żwirki i Stanisława Wigury",,,,way
Franciszkańska,,,,way
Gajowa,,,,way
Gdańska,,,,way
Gliwicka,,,,way
Górna,,,,way
Górnicza,,,,way
Gołębia,,,,way
Gościnna,,,,way
Gruntowa,,,,way
Grunwaldzka,,,,way
Gwarecka,,,,way
Główna,,,,way
Hajducka,,,,way
Harcerska,,,,way
Hutnicza,,,,way
Inwalidzka,,,,way
Jagiellońska,,,,way
"Jakuba Grządziela",,,,way
Jasna,,,,way
Jałowcowa,,,,way
Jubileuszowa,,,,way
Kadecka,,,,way
Karolinki,,,,way
Kluczborska,,,,way
Kolejowa,,,,way
"Kolonia Joanny",,,,way
Kopalniana,,,,way
Kosynierów,,,,way
Krakowska,,,,way
Kresowa,,,,way
Krótka,,,,way
Kruszcowa,,,,way
Krzywa,,,,way
Krzyżowa,,,,way
Kręta,,,,way
"Księdza Ludwika Bojarskiego",,,,way
Kwiatowa,,,,way
Lawendowa,,,,way
Legnicka,,,,way
Lipińska,,,,way
Malinowa,,,,way
"Marcina Watoły",,,,way
Mariańska,,,,way
Mazurska,,,,way
Mała,,,,way
Metalowców,,,,way
"Michała Ogińskiego",,,,way
Michałkowicka,,,,way
Miła,,,,way
Modrzewiowa,,,,way
Młodzieżowa,,,,way
Młyńska,,,,way
Nomiarki,,,,way
Nowa,,,,way
"Obrońców Chorzowa",,,,way
Odległa,,,,way
"Ogródki Działkowe im. Damrota",,,,way
Ogrodowa,,,,way
Okrężna,,,,way
Opolska,,,,way
Parkowa,,,,way
"Pawilon 1 (ruiny)",,,,way
"Piotra Niedurnego",,,,way
"Plac AKS",,,,way
"Plac Dworcowy",,,,way
"Plac Mistrzów",,,,way
"Plac Osiedlowy",,,,way
"Plac Piastowski",,,,way
"Plac Powstańców Śląskich",,,,way
"Planty Śląskie",,,,way
Pocztowa,,,,way
Podmiejska,,,,way
Pogodna,,,,way
Pokoju,,,,way
Poleska,,,,way
Polna,,,,way
Pomorska,,,,way
Poprzeczna,,,,way
Porzeczkowa,,,,way
Poznańska,,,,way
Prosta,,,,way
Prześwit,,,,way
"Przy Gazowni",,,,way
Przyjemna,,,,way
Ptasia,,,,way
Pudlerska,,,,way
